Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.524240239,0.524240239,0.506900844,0.524240239,0.506900844,0,0,0,0,7.377438496,141.8490216,141.8490216,1193631
0.02,0,0.514271093,0.514271093,0.496931697,0.514271093,0.496931697,0,0,0,0,7.377438496,141.8490216,141.8490216,2387262
0.03,0,0.496761623,0.496761623,0.479422227,0.496761623,0.479422227,0,0,0,0,7.377438496,141.8490216,141.8490216,3580892
0.04,0,0.481941066,0.481941066,0.46460167,0.481941066,0.46460167,0,0,0,0,7.377438496,141.8490216,141.8490216,4774523
0.05,0,0.469743403,0.469743403,0.452404007,0.469743403,0.452404007,0,0,0,0,7.377438496,141.8490216,141.8490216,5968154
0.06,0,0.459556841,0.459556841,0.442217446,0.459556841,0.442217446,0,0,0,0,7.377438496,141.8490216,141.8490216,7161784
0.07,0,0.450891545,0.450891545,0.43355215,0.450891545,0.43355215,0,0,0,0,7.377438496,141.8490216,141.8490216,8355415
0.08,0,0.445632756,0.445632756,0.42829336,0.445632756,0.42829336,0,0,0,0,7.377438496,141.8490216,141.8490216,9549046
0.09,0,0.446677173,0.446677173,0.429337777,0.446677173,0.429337777,0,0,0,0,7.377438496,141.8490216,141.8490216,10742680
0.1,0,0.446867931,0.446867931,0.429528535,0.446867931,0.429528535,0,0,0,0,7.377438496,141.8490216,141.8490216,11936310
0.11,0,0.446509333,0.446509333,0.429169937,0.446509333,0.429169937,0,0,0,0,7.377438496,141.8490216,141.8490216,13129940
0.12,0,0.445791002,0.445791002,0.428451606,0.445791002,0.428451606,0,0,0,0,7.377438496,141.8490216,141.8490216,14323570
0.13,0,0.444835299,0.444835299,0.427495903,0.444835299,0.427495903,0,0,0,0,7.377438496,141.8490216,141.8490216,15517200
0.14,0,0.443723359,0.443723359,0.426383963,0.443723359,0.426383963,0,0,0,0,7.377438496,141.8490216,141.8490216,16710830
0.15,0,0.442510225,0.442510225,0.425170829,0.442510225,0.425170829,0,0,0,0,7.377438496,141.8490216,141.8490216,17904460
0.16,0,0.441233874,0.441233874,0.423894478,0.441233874,0.423894478,0,0,0,0,7.377438496,141.8490216,141.8490216,19098090
0.17,0,0.439920819,0.439920819,0.422581423,0.439920819,0.422581423,0,0,0,0,7.377438496,141.8490216,141.8490216,20291720
0.18,0,0.438589834,0.438589834,0.421250438,0.438589834,0.421250438,0,0,0,0,7.377438496,141.8490216,141.8490216,21485350
0.19,0,0.437254269,0.437254269,0.419914874,0.437254269,0.419914874,0,0,0,0,7.377438496,141.8490216,141.8490216,22678980
0.2,0,0.435923592,0.435923592,0.418584196,0.435923592,0.418584196,0,0,0,0,7.377438496,141.8490216,141.8490216,23872610
0.21,0,0.43460457,0.43460457,0.417265174,0.43460457,0.417265174,0,0,0,0,7.377438496,141.8490216,141.8490216,25066240
0.22,0,0.433301987,0.433301987,0.415962591,0.433301987,0.415962591,0,0,0,0,7.377438496,141.8490216,141.8490216,26259880
0.23,0,0.432019162,0.432019162,0.414679766,0.432019162,0.414679766,0,0,0,0,7.377438496,141.8490216,141.8490216,27453510
0.24,0,0.43075839,0.43075839,0.413418994,0.43075839,0.413418994,0,0,0,0,7.377438496,141.8490216,141.8490216,28647140
0.25,0,0.429521101,0.429521101,0.412181706,0.429521101,0.412181706,0,0,0,0,7.377438496,141.8490216,141.8490216,29840770
0.26,0,0.428462034,0.428462034,0.411122638,0.428462034,0.411122638,0,0,0,0,7.377438496,141.8490216,141.8490216,31034400
0.27,0,0.4274287,0.4274287,0.410089305,0.4274287,0.410089305,0,0,0,0,7.377438496,141.8490216,141.8490216,32228030
0.28,0,0.42642108,0.42642108,0.409081684,0.42642108,0.409081684,0,0,0,0,7.377438496,141.8490216,141.8490216,33421660
0.29,0,0.425438892,0.425438892,0.408099496,0.425438892,0.408099496,0,0,0,0,7.377438496,141.8490216,141.8490216,34615290
0.3,0,0.424481769,0.424481769,0.407142373,0.424481769,0.407142373,0,0,0,0,7.377438496,141.8490216,141.8490216,35808920
0.31,0,0.423549188,0.423549188,0.406209793,0.423549188,0.406209793,0,0,0,0,7.377438496,141.8490216,141.8490216,37002550
0.32,0,0.42264062,0.42264062,0.405301224,0.42264062,0.405301224,0,0,0,0,7.377438496,141.8490216,141.8490216,38196180
0.33,0,0.421755384,0.421755384,0.404415988,0.421755384,0.404415988,0,0,0,0,7.377438496,141.8490216,141.8490216,39389820
0.34,0,0.420892882,0.420892882,0.403553486,0.420892882,0.403553486,0,0,0,0,7.377438496,141.8490216,141.8490216,40583440
0.35,0,0.420052399,0.420052399,0.402713003,0.420052399,0.402713003,0,0,0,0,7.377438496,141.8490216,141.8490216,41777080
0.36,0,0.419233276,0.419233276,0.401893881,0.419233276,0.401893881,0,0,0,0,7.377438496,141.8490216,141.8490216,42970710
0.37,0,0.418434866,0.418434866,0.40109547,0.418434866,0.40109547,0,0,0,0,7.377438496,141.8490216,141.8490216,44164340
0.38,0,0.417656511,0.417656511,0.400317115,0.417656511,0.400317115,0,0,0,0,7.377438496,141.8490216,141.8490216,45357970
0.39,0,0.416897521,0.416897521,0.399558126,0.416897521,0.399558126,0,0,0,0,7.377438496,141.8490216,141.8490216,46551600
0.4,0,0.416157278,0.416157278,0.398817882,0.416157278,0.398817882,0,0,0,0,7.377438496,141.8490216,141.8490216,47745230
0.41,0,0.415435175,0.415435175,0.398095779,0.415435175,0.398095779,0,0,0,0,7.377438496,141.8490216,141.8490216,48938860
0.42,0,0.414730586,0.414730586,0.39739119,0.414730586,0.39739119,0,0,0,0,7.377438496,141.8490216,141.8490216,50132490
0.43,0,0.414042971,0.414042971,0.396703576,0.414042971,0.396703576,0,0,0,0,7.377438496,141.8490216,141.8490216,51326120
0.44,0,0.413371732,0.413371732,0.396032336,0.413371732,0.396032336,0,0,0,0,7.377438496,141.8490216,141.8490216,52519750
