Mach,Alpha,CD,CD Power-Off,CD Power-On,CL,CP,CP (0 to 4 deg),Reynolds Number
0.26,0,0.4284620339893199329940700931,0.428462034,0.411122638,0,141.84902162243804688858781604,141.84902162243804688858781604,31034400
0.27,0,0.4274287003698812652974321431,0.4274287,0.410089305,0,141.84902162243804688858781604,141.84902162243804688858781604,32228030
0.28,0,0.4264210801707254912070345654,0.42642108,0.409081684,0,141.84902162243804688858781604,141.84902162243804688858781604,33421660
0.29,0,0.4254388918139553584719068836,0.425438892,0.408099496,0,141.84902162243804688858781604,141.84902162243804688858781604,34615290
0.3,0,0.4244817685761826500212300150,0.424481769,0.407142373,0,141.84902162243804688858781604,141.84902162243804688858781604,35808920
0.31,0,0.4235491884823611494071087118,0.423549188,0.406209793,0,141.84902162243804688858781604,141.84902162243804688858781604,37002550
0.32,0,0.4226406195551337764384572966,0.42264062,0.405301224,0,141.84902162243804688858781604,141.84902162243804688858781604,38196180
0.33,0,0.4217553839039820832826897562,0.421755384,0.404415988,0,141.84902162243804688858781604,141.84902162243804688858781604,39389820
0.34,0,0.4208928820622268462557590573,0.420892882,0.403553486,0,141.84902162243804688858781604,141.84902162243804688858781604,40583440
0.35,0,0.4200523989684214273396479098,0.420052399,0.402713003,0,141.84902162243804688858781604,141.84902162243804688858781604,41777080
0.36,0,0.4192332763753899874259356536,0.419233276,0.401893881,0,141.84902162243804688858781604,141.84902162243804688858781604,42970710
0.37,0,0.4184348661101796494300178330,0.418434866,0.40109547,0,141.84902162243804688858781604,141.84902162243804688858781604,44164340
0.38,0,0.4176565109522966015207779145,0.417656511,0.400317115,0,141.84902162243804688858781604,141.84902162243804688858781604,45357970
0.39,0,0.4168975212706180000158928184,0.416897521,0.399558126,0,141.84902162243804688858781604,141.84902162243804688858781604,46551600
0.4,0,0.4161572779858501959048975074,0.416157278,0.398817882,0,141.84902162243804688858781604,141.84902162243804688858781604,47745230
0.41,0,0.4154351749714830476505273321,0.415435175,0.398095779,0,141.84902162243804688858781604,141.84902162243804688858781604,48938860
0.42,0,0.4147305859252545299317970673,0.414730586,0.39739119,0,141.84902162243804688858781604,141.84902162243804688858781604,50132490
0.43,0,0.4140429713099641762425082795,0.414042971,0.396703576,0,141.84902162243804688858781604,141.84902162243804688858781604,51326120
