message_type,pc_time_s,sensor_time_startup_ns,imu_accel_x_mps2,imu_accel_y_mps2,imu_accel_z_mps2,imu_gyro_x_radps,imu_gyro_y_radps,imu_gyro_z_radps,gnss_lat_deg,gnss_lon_deg,gnss_alt_m,gnss_vel_n_mps,gnss_vel_e_mps,gnss_vel_d_mps,gnss_fix,gnss_num_sats
imu,1777665282.4546642,1600451257000,-0.19670772552490234,0.5203861594200134,-9.535115242004395,-0.0485088936984539,-0.02235635742545128,0.0195782370865345,,,,,,,,
imu,1777665282.4706874,1600461257000,-0.20043353736400604,0.49317488074302673,-9.512012481689453,-0.026740986853837967,-0.01432608999311924,0.018618233501911163,,,,,,,,
imu,1777665282.4730556,1600471257000,-0.2711157202720642,0.49134621024131775,-9.535529136657715,-0.0037918267771601677,-0.009508349932730198,0.021168027073144913,,,,,,,,
imu,1777665282.4887378,1600481257000,-0.23647411167621613,0.4002716839313507,-9.560648918151855,-0.0025686384178698063,0.012208604253828526,0.026034802198410034,,,,,,,,
imu,1777665282.4932957,1600491257000,-0.3117351830005646,0.37015318870544434,-9.68069076538086,-0.02211236022412777,0.03741922229528427,0.04479287564754486,,,,,,,,
imu,1777665282.4975739,1600501257000,-0.2789270281791687,0.37814292311668396,-9.821243286132812,-0.05126422271132469,0.060315169394016266,0.07060791552066803,,,,,,,,
imu,1777665282.5147653,1600511257000,-0.21455597877502441,0.5475903749465942,-10.01122760772705,-0.08652658760547638,0.07513491064310074,0.07936219871044159,,,,,,,,
imu,1777665282.5181162,1600521257000,-0.13867777585983276,0.6690840125083923,-10.041596412658691,-0.11043494939804077,0.0681079551577568,0.07184423506259918,,,,,,,,
imu,1777665282.5365894,1600531257000,-0.14523598551750183,0.6232785582542419,-9.999137878417969,-0.13261619210243225,0.05559650436043739,0.06505566835403442,,,,,,,,
imu,1777665282.538705,1600541257000,-0.06633085757493973,0.6937663555145264,-9.937946319580078,-0.12105263769626617,0.044327206909656525,0.05819614976644516,,,,,,,,
imu,1777665282.5479765,1600551257000,-0.0683344230055809,0.7120154500007629,-9.909015655517578,-0.09196852892637253,0.028988579288125038,0.049125462770462036,,,,,,,,
imu,1777665282.5644546,1600561257000,-0.11155799776315689,0.7353886961936951,-9.946929931640625,-0.06899536401033401,0.03137823939323425,0.04376795142889023,,,,,,,,
imu,1777665282.5678642,1600571257000,-0.1407584249973297,0.7036471962928772,-10.006160736083984,-0.06180355325341225,0.03322497010231018,0.03414164483547211,,,,,,,,
imu,1777665282.586703,1600581257000,-0.1195213794708252,0.6866983771324158,-10.048659324645996,-0.06442266702651978,0.02462930604815483,0.03479016572237015,,,,,,,,
imu,1777665282.5888689,1600591257000,-0.05955389142036438,0.7399399280548096,-10.094758987426758,-0.06258609145879745,0.011561364866793156,0.0395798534154892,,,,,,,,
imu,1777665282.5981195,1600601257000,-0.023845186457037926,0.7379592657089233,-10.118685722351074,-0.05105464905500412,-0.0039221253246068954,0.03971228003501892,,,,,,,,
imu,1777665282.61415,1600611257000,0.08143312484025955,0.7853430509567261,-10.081348419189453,-0.03066115267574787,-0.016773687675595284,0.040567927062511444,,,,,,,,
imu,1777665282.6185284,1600621257000,0.11500787734985352,0.756158709526062,-10.046760559082031,-0.02099895477294922,-0.018315879628062248,0.03566564619541168,,,,,,,,
imu,1777665282.6366837,1600631257000,0.15987549722194672,0.7811435461044312,-10.119586944580078,-0.02325623109936714,-0.015014803037047386,0.03791562467813492,,,,,,,,
imu,1777665282.6401808,1600641257000,0.1694842129945755,0.8027652502059937,-10.119511604309082,-0.046516917645931244,-0.011917009949684143,0.04527486115694046,,,,,,,,
