message_type,pc_time_s,sensor_time_startup_ns,imu_accel_x_mps2,imu_accel_y_mps2,imu_accel_z_mps2,imu_gyro_x_radps,imu_gyro_y_radps,imu_gyro_z_radps,gnss_lat_deg,gnss_lon_deg,gnss_alt_m,gnss_vel_n_mps,gnss_vel_e_mps,gnss_vel_d_mps,gnss_fix,gnss_num_sats
imu,1776824834.7088733,1239931257000,0.992011547088623,0.4119076132774353,-9.829626083374023,2.553969144821167,-0.3451220691204071,0.6612446904182434,,,,,,,,
imu,1776824834.7184753,1239941257000,0.6783944964408875,-0.10218886286020279,-8.691344261169434,3.1139895915985107,-0.2884972095489502,0.4563843905925751,,,,,,,,
imu,1776824834.7281485,1239951257000,-0.2644881308078766,-1.128696322441101,-9.458989143371582,3.1919004917144775,-0.47763949632644653,0.37662801146507263,,,,,,,,
imu,1776824834.7378988,1239961257000,1.7039098739624023,-1.8661805391311646,-12.616938591003418,2.3571438789367676,-0.3271709978580475,0.1819944530725479,,,,,,,,
imu,1776824834.7477944,1239971257000,0.5718860030174255,-1.9028332233428955,-10.995734214782715,3.1208810806274414,-0.15172716975212097,0.050520654767751694,,,,,,,,
imu,1776824834.7579257,1239981257000,-1.985378623008728,-1.7665525674819946,-9.3240966796875,2.782590866088867,-0.15195384621620178,0.1319531500339508,,,,,,,,
imu,1776824834.7676601,1239991257000,-1.5183181762695312,-2.3860418796539307,-7.5672383308410645,1.7825032472610474,-0.258248507976532,0.4595710039138794,,,,,,,,
imu,1776824834.7776382,1240001257000,-1.4374537467956543,-2.62353777885437,-8.195409774780273,1.071178674697876,-0.38486945629119873,0.5530927777290344,,,,,,,,
imu,1776824834.7884843,1240011257000,-0.7178947925567627,-2.233102321624756,-8.15552043914795,0.20920240879058838,-0.36165401339530945,0.5256410241127014,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.797175,1240021257000,0.24741749465465546,-4.132199287414551,-10.138941764831543,0.1934366375207901,-0.3923758566379547,0.6235787868499756,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.8071363,1240031257000,0.656566321849823,-4.871921062469482,-11.861143112182617,-0.30410587787628174,-0.19121932983398438,0.5743537545204163,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.8169808,1240041257000,-0.8642457723617554,-7.944344997406006,-12.630648612976074,-0.5881168842315674,0.10155972838401794,0.7732346057891846,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.8275404,1240051257000,-0.8213290572166443,-5.439525604248047,-12.176973342895508,1.1487046480178833,0.15993210673332214,0.2600337862968445,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.8374481,1240061257000,-1.0684864521026611,-1.7843289375305176,-11.454192161560059,3.8157289028167725,0.18417340517044067,-0.3459361791610718,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.8472097,1240071257000,-0.6665151715278625,-0.6211837530136108,-8.833807945251465,3.8933465480804443,0.2738755941390991,-0.44955193996429443,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.8569996,1240081257000,-1.1015636920928955,-1.5791749954223633,-7.441874980926514,2.6457936763763428,0.503032386302948,0.1043134406208992,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.8669286,1240091257000,-0.6844210028648376,-2.0926311016082764,-6.956881046295166,1.8587429523468018,0.5186530351638794,0.4967767298221588,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.8766685,1240101257000,-0.23604132235050201,-4.396062850952148,-7.110876560211182,1.24274742603302,0.377200722694397,0.7139347195625305,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.886292,1240111257000,-0.1256503462791443,-5.628110408782959,-7.8564581871032715,-0.3018074035644531,0.4312216341495514,0.4900890290737152,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.8961747,1240121257000,-0.6990503668785095,-4.968460559844971,-7.536723613739014,-1.5162725448608398,0.5290865302085876,0.3694400191307068,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.9068725,1240131256000,-1.1411107778549194,-4.872127532958984,-8.236491203308105,-1.910465121269226,0.24684269726276398,0.3078416585922241,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.9167795,1240141257000,-0.8630689382553101,-4.735540866851807,-9.806782722473145,-1.9330693483352661,0.16922560334205627,0.16580775380134583,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.926636,1240151257000,-0.2737472653388977,-4.849598407745361,-8.812324523925781,-1.8005794286727905,0.07087673246860504,-0.07332294434309006,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.93637,1240161257000,-0.5551424622535706,-4.349415302276611,-9.531216621398926,-0.9900118112564087,-0.1989014893770218,-0.45812785625457764,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.9461365,1240171257000,-0.12097249180078506,-3.0526199340820312,-8.441458702087402,-0.7295908331871033,-0.400654673576355,-0.6523180603981018,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.9561145,1240181257000,-0.16592708230018616,-3.586059808731079,-8.243155479431152,0.018635030835866928,-0.611463725566864,-0.6236372590065002,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.965873,1240191257000,-0.6817562580108643,-3.4345197677612305,-8.444570541381836,0.18644706904888153,-0.6723960041999817,-0.7927380204200745,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
imu,1776824834.9756815,1240201257000,-1.0024000406265259,-2.3601572513580322,-9.029147148132324,0.38172075152397156,-0.8333838582038879,-0.8181005716323853,40.421934,-86.9035603,202.565,0.11400000005960464,0.19099999964237213,0.23600000143051147,3,9
