Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
17.47,4,0.4504460414082261271950451911,0.472570084875213,0.472570084875213,0.452648614006092,0.452648614006092,0.269083468331636,0.3013928172447251341807209573,0.2209872045381397341807209573,0.0804056127065854,4.3171333877257925229175116936,36.554153150331893419027917729,36.554151665297968256376158445,909696700
17.48,4,0.4504375932974963238561106440,0.472556886999852,0.472556886999852,0.452640124586136,0.452640124586136,0.269016430739385,0.3013250223154334474496670226,0.2209315504492489474496670226,0.0803934718661845,4.3161622966629420236267218448,36.548202624440532978360799143,36.548201137604376823860672633,910217400
17.49,4,0.4504290544154431516318721911,0.472543603486321,0.472543603486321,0.452631543951007,0.452631543951007,0.268949476087291,0.3012573041504438243950578238,0.2208759482522732243950578238,0.0803813558981706,4.3151923051682200708013135812,36.542253900999879477412882205,36.542252412361754019797796187,910738200
17.50,4,0.4504205264623638467853955576,0.472530337953278,0.472530337953278,0.452622974298292,0.452622974298292,0.268882621128815,0.3011896866904788413533823265,0.2208204219540762413533823265,0.0803692647364026,4.3142237561672178260123383545,36.536311152120178331706508207,36.536309661681159327010929855,911258900
17.51,4,0.4504121079365837083587166974,0.472517187369826,0.472517187369826,0.45261451460795,0.45261451460795,0.268815833650904,0.3011221445651783479822267250,0.2207649462504391479822267250,0.0803571983147392,4.3132562862562955860394521741,36.530372840730833738283573524,36.530371348491623605787569313,911779600
17.52,4,0.4504035999167760394968990103,0.472503953877504,0.472503953877504,0.452605964985975,0.452605964985975,0.26874914974365,0.3010546999748107619167607067,0.2207095434077715619167607067,0.0803451565670392,4.3122902134308851068278928109,36.524447523259038953423617066,36.524446029221894590165373359,912300400
17.53,4,0.4503952026671043466519058635,0.472490838529444,0.472490838529444,0.452597526675776,0.452597526675776,0.268682559658419,0.3009873572192482221571939703,0.2206542177920874221571939703,0.0803331394271608,4.3113255992821185231788276755,36.518518242925815039141725311,36.518516747090212974778674403,912821100
17.54,4,0.4503867148321156796166445172,0.472477637617347,0.472477637617347,0.45258899733732,0.45258899733732,0.268616050893945,0.3009200896177031693787298593,0.2205989427887397693787298593,0.0803211468289634,4.3103620616358561318719127779,36.512598496830229538222526187,36.512596999197735078491392501,913341800
17.55,4,0.4503783376961895302927892855,0.472464552182149,0.472464552182149,0.452580579239218,0.452580579239218,0.268549598830288,0.3008528866341168725615306462,0.2205437079278116725615306462,0.0803091787063052,4.3093994495741941212480836082,36.506679321271682100580989429,36.506677821842370089271939624,913862500
17.56,4,0.4503698709665826690308918090,0.472451384543449,0.472451384543449,0.452572071109343,0.452572071109343,0.26848326186011,0.3007857927294207241993498929,0.2204885577363763241993498929,0.0802972349930444,4.3084383999530707880869961784,36.50076767151278431854684431,36.500766170288125995194043497,914383200
17.57,4,0.4503615139270343605819789543,0.472438331483311,0.472438331483311,0.452563673205886,0.452563673205886,0.268416983279286,0.3007187650644424598475086957,0.2204334494414015598475086957,0.0802853156230409,4.3074782991465202671898178974,36.494856136815753251342222905,36.49485463379573126238250928,914903900
17.58,4,0.4503531674291058577306874860,0.472425296225729,0.472425296225729,0.452555285895593,0.452555285895593,0.268350807427664,0.3006518411202650425604292842,0.2203784205901126425604292842,0.0802734205301524,4.3065196840315353145017865372,36.488951321551011228239839094,36.488949816736952250043968997,915424600
17.59,4,0.4503447303250231940789597351,0.472412174905468,0.472412174905468,0.452546807536105,0.452546807536105,0.268284706066046,0.3005849854812098572815839467,0.2203234358329715572815839467,0.0802615496482383,4.3055620473158882535724421473,36.483052793199948264727369925,36.483051286592936865598730619,915945300
