message_type,pc_time_s,sensor_time_startup_ns,imu_accel_x_mps2,imu_accel_y_mps2,imu_accel_z_mps2,imu_gyro_x_radps,imu_gyro_y_radps,imu_gyro_z_radps,gnss_lat_deg,gnss_lon_deg,gnss_alt_m,gnss_vel_n_mps,gnss_vel_e_mps,gnss_vel_d_mps,gnss_fix,gnss_num_sats
imu,1777670374.5936503,466831257000,-1.722523808479309,2.1902716159820557,-9.527616500854492,-0.04660908505320549,0.0373748354613781,-0.03597380593419075,,,,,,,,
imu,1777670374.5980196,466841257000,-1.6049492359161377,2.1208505630493164,-9.327230453491211,0.021805856376886368,0.015706701204180717,-0.036086611449718475,,,,,,,,
imu,1777670374.6025465,466851257000,-1.481096625328064,1.9886308908462524,-9.118619918823242,0.09248941391706467,-0.00013916799798607826,-0.03035110794007778,,,,,,,,
imu,1777670374.6230807,466861257000,-1.4970059394836426,1.858809471130371,-8.948169708251953,0.1268375962972641,-0.005211598239839077,-0.023102881386876106,40.4670237,-86.9392046,179.9,6.767000198364258,3.753000020980835,-0.12700000405311584,3,7
imu,1777670374.6265707,466871257000,-1.4945517778396606,1.6256451606750488,-9.054186820983887,0.14457720518112183,-0.044434625655412674,-0.029241858050227165,40.4670237,-86.9392046,179.9,6.767000198364258,3.753000020980835,-0.12700000405311584,3,7
imu,1777670374.6424341,466881257000,-1.5040194988250732,1.4521162509918213,-9.168429374694824,0.1219964325428009,-0.041529878973960876,-0.020429978147149086,40.4670237,-86.9392046,179.9,6.767000198364258,3.753000020980835,-0.12700000405311584,3,7
imu,1777670374.6459324,466891257000,-1.6041065454483032,1.307607889175415,-9.42546272277832,0.04344272240996361,-0.021726002916693687,-0.025851191952824593,40.4670237,-86.9392046,179.9,6.767000198364258,3.753000020980835,-0.12700000405311584,3,7
imu,1777670374.6529155,466901257000,-1.7914705276489258,1.3369792699813843,-9.571966171264648,-0.04312491416931152,0.005527874920517206,-0.029499899595975876,40.4670237,-86.9392046,179.9,6.767000198364258,3.753000020980835,-0.12700000405311584,3,7
imu,1777670374.6688633,466911257000,-1.93519127368927,1.5485409498214722,-9.571564674377441,-0.12192656844854355,0.03133571147918701,-0.021508987993001938,40.4670237,-86.9392046,179.9,6.767000198364258,3.753000020980835,-0.12700000405311584,3,7
imu,1777670374.6721637,466921257000,-2.0108273029327393,1.7940733432769775,-9.560630798339844,-0.16169697046279907,0.04314564913511276,-0.043816715478897095,40.4670237,-86.9392046,179.9,6.767000198364258,3.753000020980835,-0.12700000405311584,3,7
imu,1777670374.6904798,466931257000,-2.1216413974761963,2.0378782749176025,-9.482589721679688,-0.14553116261959076,0.03525504469871521,-0.060112114995718,40.4670237,-86.9392046,179.9,6.767000198364258,3.753000020980835,-0.12700000405311584,3,7
imu,1777670374.6938558,466941257000,-2.0430796146392822,2.183004379272461,-9.381420135498047,-0.08546943217515945,0.010345716029405594,-0.06279685348272324,40.4670237,-86.9392046,179.9,6.767000198364258,3.753000020980835,-0.12700000405311584,3,7
imu,1777670374.7034166,466951257000,-2.085339307785034,2.2485249042510986,-9.290292739868164,0.010336587205529213,0.0024203192442655563,-0.040306206792593,40.4670237,-86.9392046,179.9,6.767000198364258,3.753000020980835,-0.12700000405311584,3,7
imu,1777670374.718288,466961257000,-2.1194894313812256,2.158374071121216,-9.170539855957031,0.09613526612520218,-0.03409099206328392,-0.04659959673881531,40.4670237,-86.9392046,179.9,6.767000198364258,3.753000020980835,-0.12700000405311584,3,7
imu,1777670374.7228057,466971257000,-2.1493561267852783,2.0528223514556885,-9.145503997802734,0.13471342623233795,-0.05828404426574707,-0.043921153992414474,40.4670237,-86.9392046,179.9,6.767000198364258,3.753000020980835,-0.12700000405311584,3,7
imu,1777670374.740824,466981257000,-2.2207119464874268,1.9071160554885864,-9.158596992492676,0.13881812989711761,-0.07074501365423203,-0.05494752898812294,40.4670237,-86.9392046,179.9,6.767000198364258,3.753000020980835,-0.12700000405311584,3,7
imu,1777670374.7431512,466991257000,-2.354400873184204,1.805319905281067,-9.183187484741211,0.09078198671340942,-0.05137360468506813,-0.0602448545396328,40.4670237,-86.9392046,179.9,6.767000198364258,3.753000020980835,-0.12700000405311584,3,7
imu,1777670374.7520676,467001257000,-2.453977346420288,1.8146835565567017,-9.185114860534668,0.012292368337512016,-0.013312547467648983,-0.06158239394426346,40.4670237,-86.9392046,179.9,6.767000198364258,3.753000020980835,-0.12700000405311584,3,7
imu,1777670374.769066,467011257000,-2.5138025283813477,1.9497319459915161,-9.235749244689941,-0.07454802840948105,0.009652653709053993,-0.06453585624694824,40.4670237,-86.9392046,179.9,6.767000198364258,3.753000020980835,-0.12700000405311584,3,7
imu,1777670374.7722425,467021257000,-2.5039029121398926,2.164296865463257,-9.238995552062988,-0.14635440707206726,0.028200114145874977,-0.07035871595144272,40.4670237,-86.9392046,179.9,6.767000198364258,3.753000020980835,-0.12700000405311584,3,7
imu,1777670374.791063,467031257000,-2.4291796684265137,2.3397042751312256,-9.254712104797363,-0.17353782057762146,0.03793906420469284,-0.07532452046871185,40.4670237,-86.9392046,179.9,6.767000198364258,3.753000020980835,-0.12700000405311584,3,7
