Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
12.24,4,0.0800755763207202872360345552,0.113360636713437,0.113360636713437,0.0804671265930035,0.0804671265930035,0.467589136264677,0.4743577509082018910033515784,0.2389383899629008910033515784,0.235419360945301,6.7946727365556629452430790504,132.85505069045512560531606506,132.85504522084881249669286664,2172537000
12.25,4,0.0800588627291242272360345552,0.113331027219814,0.113331027219814,0.0804503312759721,0.0804503312759721,0.467406471507276,0.4741734656591052662458401143,0.2388418895140092662458401143,0.235331576145096,6.7920330446666725877143396566,132.83956936503731861271176511,132.83956388930064628373935851,2174312000
12.26,4,0.0800421923738501472360345552,0.113301480887207,0.113301480887207,0.0804335794066778,0.0804335794066778,0.467224087145681,0.4739894645286733077662297962,0.2387455206047453077662297962,0.235243943923928,6.7893974224747783432497151764,132.82410568792527404573767219,132.82410020604947063147151854,2176087000
12.27,4,0.0800255554454254672360345552,0.113271988305374,0.113271988305374,0.0804168611276821,0.0804168611276821,0.467041989919311,0.4738057535834844653693611362,0.2386492894713974653693611362,0.235156464112087,6.7867659568773134732486876475,132.80864471940571645179809788,132.80863923137866348187016201,2177862000
12.28,4,0.0800089509354214872360345552,0.113242549547929,0.113242549547929,0.0804001754256254,0.0804001754256254,0.466860195408006,0.4736223483705617299564284351,0.2385532118307017299564284351,0.23506913653986,6.7841388705689476193258531148,132.79321529350804502209861925,132.79320979932421968459078592,2179637000
12.29,4,0.0799923900327952572360345552,0.113213173472775,0.113213173472775,0.0803835335441761,0.0803835335441761,0.466678669101085,0.4734392150811856373887395138,0.2384572540436496373887395138,0.234981961037536,6.7815156792755306626655796157,132.77778036699248844750922674,132.77777486663784531454491411,2181412000
12.30,4,0.0799758713341374172360345552,0.113183859501873,0.113183859501873,0.0803669340730623,0.0803669340730623,0.466497422949303,0.4732563655966779490295408552,0.2383614281612739490295408552,0.234894937435404,6.7788965531843869209254859949,132.76237573240340406983626461,132.7623702258718825493980838,2183187000
12.31,4,0.0799593760287835972360345552,0.113154588900794,0.113154588900794,0.0803503581096402,0.0803503581096402,0.46631646001832,0.4730738016683837642916808575,0.2382657361046317642916808575,0.234808065563752,6.7762815173817279794620314929,132.74698344090680636295497228,132.74697792818841627224635076,2184962000
12.32,4,0.0799429333048049772360345552,0.113125391353543,0.113125391353543,0.0803338349847036,0.0803338349847036,0.466135784335039,0.4728915293840486540930581449,0.2381701841311796540930581449,0.234721345252869,6.77367065906809809967469815,132.73160490942245995553605419,132.73159939050762869458708849,2186737000
12.33,4,0.0799265237608107872360345552,0.113096246847881,0.113096246847881,0.0803173452019935,0.0803173452019935,0.465955389201438,0.4727095406659825485326612042,0.2380747643329425485326612042,0.23463477633304,6.7710638625391508950490136084,132.71623157505161709877346643,132.7162260499288562024320533,2188512000
12.34,4,0.0799101467809975372360345552,0.11306715658244,0.11306715658244,0.0803008881426953,0.0803008881426953,0.465775300629803,0.4725278615467192295650015102,0.2379795029121592295650015102,0.23454835863456,6.7684615006834059509414371083,132.70088908139669122595795498,132.70088355006042285180779524,2190287000
12.35,4,0.0798938111607397372360345552,0.113038126586515,0.113038126586515,0.0802844726451909,0.0802844726451909,0.465595478139705,0.4723464520650212402427372427,0.2378843600773112402427372427,0.23446209198771,6.7658630010983845568805190913,132.68555911005508553497790164,132.68555357249537823784857608,2192062000
12.36,4,0.0798775086967186872360345552,0.113009149028293,0.113009149028293,0.0802680904660492,0.0802680904660492,0.465415927905394,0.4721653178337776932810962612,0.2377893416109916932810962612,0.234375976222786,6.7632684441826986503087644009,132.67022635743560275518320489,132.67022081363871460673734539,2193837000
